                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4393,                 2.6431,                 1.4907,                0.40097,                0.29202,                0.24672,                0.09316,                 2.1786,                  2.556,                 1.3246,             0.00054845,             0.00054845,             0.00054845
                      2,                 2.1537,                 1.9552,                 1.3489,                0.37587,                0.46021,                0.36755,                 0.1508,                 2.1135,                 1.8582,                 1.3096,             0.00073976,             0.00073976,             0.00073976
                      3,                 2.0764,                 1.7555,                 1.3204,                0.42822,                0.45934,                0.39917,                0.17148,                 1.9953,                 1.7378,                 1.2526,             0.00056433,             0.00056433,             0.00056433
